filename,type,D,d_max,V_in,V_ex,V_exc,epsilon
compacted_41.npz,Complex crater,236.404471,-6.622,245321.3775,63436.63569,236636.1817,0.217758499
compacted_43.npz,Complex crater,242.2483283,-8.21,278917.816,85732.41585,218843.8574,0.355035113
compacted_47.npz,Complex crater,256.0426558,-11.252,365845.3445,171259.7793,144318.5587,0.284279666
